number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
51	6	1	"[[19001,5000,6],[18002,10000,1],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18002,10000,3],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,1],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
52	6	1	"[[19001,5000,6],[18002,10000,1],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18002,10000,3],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,1],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
53	6	1	"[[19001,5000,6],[18002,10000,1],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18002,10000,3],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,1],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
54	6	1	"[[19001,5000,6],[18002,10000,1],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,1],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18002,10000,3],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,1],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18003,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
55	6	1	"[[19001,5000,6],[18002,10000,3],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,3],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
56	6	1	"[[19001,5000,6],[18002,10000,3],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,3],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
57	6	1	"[[19001,5000,6],[18002,10000,3],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,3],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
58	6	1	"[[19001,5000,6],[18002,10000,3],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,3],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
59	6	1	"[[19001,5000,6],[18002,10000,3],[11076,5000,3]]"	"[[19001,5000,6],[18002,10000,3],[21003,2500,3]]"	"[[19001,5000,6],[18002,10000,3],[11075,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19002,5000,6],[18003,10000,1],[11074,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11073,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,2],[11072,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18003,10000,2],[11071,5000,3]]"	"[[19004,5000,6],[18003,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
60	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,3],[11082,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
61	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,3],[11082,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
62	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,3],[11082,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
63	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,3],[11082,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
64	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,1],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,2],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,2],[20002,10000,1]]"	"[[19004,5000,6],[18003,10000,3],[11082,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
65	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11082,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
66	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11082,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
67	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11082,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
68	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11082,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
69	6	1	"[[19001,5000,6],[18003,10000,1],[11086,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,1],[11085,5000,3]]"	"[[19002,5000,6],[18003,10000,1],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11084,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11083,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18003,10000,3],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11082,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,1],[11081,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,1],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
70	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11093,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
71	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11093,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
72	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11093,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
73	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11093,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
74	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,1],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18003,10000,2],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18003,10000,2],[11093,5000,3]]"	"[[19003,5000,6],[18003,10000,3],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
75	6	1	"[[19001,5000,6],[18003,10000,1],[11096,5000,3]]"	"[[19001,5000,6],[18003,10000,2],[21003,2500,3]]"	"[[19002,5000,6],[18003,10000,2],[11095,5000,3]]"	"[[19002,5000,6],[18003,10000,2],[15001,5000,3]]"	"[[24003,5000,3],[24001,10000,3],[20002,10000,1]]"	"[[19003,5000,6],[18004,10000,1],[11094,5000,3]]"	"[[24004,5000,3],[24002,10000,3],[21002,2500,3]]"	"[[19003,5000,6],[18004,10000,1],[11093,5000,3]]"	"[[19003,5000,6],[18004,10000,1],[15002,5000,3]]"	"[[19004,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[19004,5000,6],[18004,10000,1],[11092,5000,3]]"	"[[19004,5000,6],[18004,10000,2],[21001,2500,3]]"	"[[19004,5000,6],[18004,10000,2],[11091,5000,3]]"	"[[19005,5000,6],[18004,10000,1],[20002,10000,1]]"	"[[24003,10000,3],[24001,10000,3],[15103,600,1]]"	"[[19005,10000,4],[18004,10000,2],[15103,600,1]]"	"[[24004,10000,3],[24002,10000,3],[15103,600,1]]"
